iter	Passed	Remaining
0	1	235
1	2	209
2	3	196
3	4	195
4	5	192
5	6	188
6	7	184
7	8	179
8	8	176
9	9	175
10	11	176
11	11	173
12	12	170
13	13	170
14	14	166
15	15	163
16	16	160
17	16	157
18	17	155
19	18	152
20	19	150
21	19	149
22	20	147
23	21	146
24	22	145
25	23	143
26	24	142
27	24	141
28	25	140
29	26	138
30	27	137
31	28	135
32	28	134
33	29	133
34	30	131
35	31	130
36	31	129
37	32	128
38	33	127
39	34	125
40	35	125
41	36	124
42	36	123
43	37	122
44	38	121
45	39	120
46	39	118
47	40	118
48	41	117
49	42	115
50	43	114
51	43	113
52	44	112
53	45	111
54	46	110
55	46	109
56	47	108
57	48	107
58	48	106
59	49	104
60	50	104
61	51	103
62	52	102
63	52	101
64	53	100
65	54	99
66	55	98
67	55	97
68	56	96
69	57	95
70	58	94
71	58	93
72	59	93
73	60	92
74	61	91
75	61	90
76	62	89
77	63	88
78	63	87
79	64	86
80	65	85
81	66	85
82	67	84
83	67	83
84	68	82
85	69	81
86	70	80
87	70	79
88	71	78
89	72	77
90	73	77
91	73	76
92	74	75
93	75	74
94	75	73
95	76	72
96	77	71
97	78	70
98	78	70
99	79	69
100	80	68
101	81	67
102	82	67
103	83	66
104	84	65
105	84	64
106	85	63
107	86	63
108	87	62
109	87	61
110	88	60
111	89	59
112	90	59
113	91	58
114	91	57
115	92	56
116	93	55
117	94	55
118	94	54
119	95	53
120	96	52
121	97	51
122	98	51
123	98	50
124	99	49
125	100	48
126	101	47
127	101	46
128	102	46
129	103	45
130	104	44
131	104	43
132	105	42
133	106	42
134	106	41
135	107	40
136	108	39
137	109	38
138	109	37
139	110	37
140	111	36
141	112	35
142	112	34
143	113	33
144	114	33
145	115	32
146	115	31
147	116	30
148	117	29
149	118	29
150	118	28
151	119	27
152	120	26
153	121	25
154	121	25
155	122	24
156	123	23
157	124	22
158	124	21
159	125	21
160	126	20
161	127	19
162	127	18
163	128	18
164	129	17
165	130	16
166	130	15
167	131	14
168	132	14
169	133	13
170	133	12
171	134	11
172	135	10
173	135	10
174	136	9
175	137	8
176	138	7
177	138	7
178	139	6
179	140	5
180	141	4
181	141	3
182	142	3
183	143	2
184	144	1
185	145	0
186	145	0
